lotarea,neighborhood,overallqual,overallcond,totalbsmtsf,grlivarea,kitchenqual,paveddrive,yrsold,saleprice,zone_FV,zone_RL,zone_RM,lotshape_irr,near_busy_st,non_1fam,2plus_fl,hip_roof,ext_ord,has_veneer,cncrt_found,bsmt_ord,heatingqc_dum,cent_air_dum,garage_ord,fireplace_ord,lotfrontage_imp,remodel_age,tot_bath,deckporcharea
9.511703431483827,1,6,8,6.587550014824796,7.2991214627108,2,1,2010,11.779128505744886,0,1,0,1,0,0,1,0,0,1,0,2.75,1,1,1.67,0.0,81.8893355271308,6,2.5,3.8066624897703196
9.34940642009918,3,7,5,6.81783057145415,7.660114319173928,2,1,2009,12.301382825334498,0,1,0,1,0,0,1,0,2,1,1,3.0,1,1,1.67,1.0,43.0,14,3.5,4.31748811353631
8.977398978181862,1,5,7,6.964135612418245,6.963189985870238,2,1,2010,11.59910316121128,0,1,0,0,0,0,0,0,2,0,0,2.75,0,1,0.67,0.0,68.0,4,2.0,3.970291913552122
9.190341725469493,3,5,5,5.953243334287785,7.275172319452771,1,1,2010,12.066810578196666,0,1,0,0,0,0,1,0,2,0,1,2.0,0,1,2.0,0.0,73.0,4,2.5,4.61512051684126
9.563458999712138,3,6,8,6.517671272912275,7.275864600546533,1,0,2010,11.83862560460953,0,1,0,1,0,0,0,0,0,0,1,1.75,0,1,1.0,0.0,82.0,18,2.0,4.0943445622221
9.71063069382679,1,6,6,7.325148957955575,7.543273346705446,2,1,2010,12.154779351142624,0,1,0,1,0,0,0,0,1,0,0,2.5,1,1,1.67,1.25,137.0,9,2.5,0.0
8.209308411646937,3,6,5,6.306275286948016,6.977281341630747,1,1,2006,11.84939770159144,0,0,1,0,0,0,0,0,2,1,1,4.25,0,1,1.33,0.0,35.0,5,3.0,3.8066624897703196
9.405907155520158,1,5,5,7.080867896690782,7.080026499922591,1,1,2010,11.863582336583399,0,1,0,1,0,0,0,1,0,1,0,2.0,0,1,1.67,0.0,77.71260111352534,52,2.0,0.0
9.666688690398917,1,5,5,6.829793737512425,6.828712071641684,1,1,2007,11.630708500626612,0,1,0,0,1,0,0,0,0,0,0,2.0,0,1,0.67,0.0,90.72229780639582,59,1.0,5.783825182329737
9.359277484750553,1,5,5,6.947937068614969,7.640123172695364,0,1,2007,11.813030057420567,0,1,0,1,0,0,1,0,0,1,1,3.0,0,1,1.33,1.25,70.0,42,2.5,5.817111159963204
