id,pid,mssubclass,lotfrontage,lotarea,neighborhood,overallqual,overallcond,yearbuilt,yearremod/add,masvnrarea,bsmtfinsf1,bsmtfinsf2,bsmtunfsf,totalbsmtsf,1stflrsf,2ndflrsf,lowqualfinsf,grlivarea,bsmtfullbath,bsmthalfbath,fullbath,halfbath,bedroomabvgr,kitchenabvgr,kitchenqual,totrmsabvgrd,garageyrblt,garagearea,paveddrive,wooddecksf,openporchsf,enclosedporch,3ssnporch,screenporch,poolarea,miscval,mosold,yrsold,saleprice,zone_FV,zone_RL,zone_RM,lotshape_irr,near_busy_st,non_1fam,2plus_fl,hip_roof,ext_ord,has_veneer,cncrt_found,bsmt_ord,heatingqc_dum,cent_air_dum,garage_ord,fireplace_ord
109,533352170,60,,13517,1,6,8,1976,2005,289.0,533.0,0.0,192.0,725.0,725,754,0,1479,0.0,0.0,2,1,3,1,2,6,1976.0,475.0,1,0,44,0,0,0,0,0,3,2010,130500,0,1,0,1,0,0,1,0,0,1,0,2.75,1,1,1.67,0.0
544,531379050,60,43.0,11492,3,7,5,1996,1997,132.0,637.0,0.0,276.0,913.0,913,1209,0,2122,1.0,0.0,2,1,4,1,2,8,1997.0,559.0,1,0,74,0,0,0,0,0,4,2009,220000,0,1,0,1,0,0,1,0,2,1,1,3.0,1,1,1.67,1.0
153,535304180,20,68.0,7922,1,5,7,1953,2007,0.0,731.0,0.0,326.0,1057.0,1057,0,0,1057,1.0,0.0,1,0,3,1,2,5,1953.0,246.0,1,0,52,0,0,0,0,0,1,2010,109000,0,1,0,0,0,0,0,0,2,0,0,2.75,0,1,0.67,0.0
318,916386060,60,73.0,9802,3,5,5,2006,2007,0.0,0.0,0.0,384.0,384.0,744,700,0,1444,0.0,0.0,2,1,3,1,1,7,2007.0,400.0,1,100,0,0,0,0,0,0,4,2010,174000,0,1,0,0,0,0,1,0,2,0,1,2.0,0,1,2.0,0.0
255,906425045,50,82.0,14235,3,6,8,1900,1993,0.0,0.0,0.0,676.0,676.0,831,614,0,1445,0.0,0.0,2,0,3,1,1,6,1957.0,484.0,0,0,59,0,0,0,0,0,3,2010,138500,0,1,0,1,0,0,0,0,0,0,1,1.75,0,1,1.0,0.0
138,535126040,20,137.0,16492,1,6,6,1966,2002,0.0,247.0,713.0,557.0,1517.0,1888,0,0,1888,0.0,0.0,2,1,2,1,2,6,1966.0,578.0,1,0,0,0,0,0,0,0,6,2010,190000,0,1,0,1,0,0,0,0,1,0,0,2.5,1,1,1.67,1.25
2827,908186070,180,35.0,3675,3,6,5,2005,2006,82.0,547.0,0.0,0.0,547.0,1072,0,0,1072,1.0,0.0,2,0,2,1,1,5,2005.0,525.0,1,0,44,0,0,0,0,0,6,2006,140000,0,0,1,0,0,0,0,0,2,1,1,4.25,0,1,1.33,0.0
145,535154050,20,,12160,1,5,5,1959,1959,180.0,1000.0,0.0,188.0,1188.0,1188,0,0,1188,1.0,0.0,1,0,3,1,1,6,1959.0,531.0,1,0,0,0,0,0,0,0,5,2010,142000,0,1,0,1,0,0,0,1,0,1,0,2.0,0,1,1.67,0.0
1942,535353130,20,,15783,1,5,5,1952,1952,0.0,292.0,0.0,632.0,924.0,924,0,0,924,0.0,0.0,1,0,2,1,1,6,1952.0,420.0,1,0,324,0,0,0,0,400,6,2007,112500,0,1,0,0,1,0,0,0,0,0,0,2.0,0,1,0.67,0.0
1956,535426130,60,70.0,11606,1,5,5,1969,1969,192.0,650.0,0.0,390.0,1040.0,1040,1040,0,2080,0.0,1.0,1,2,5,1,0,9,1969.0,504.0,1,335,0,0,0,0,0,0,9,2007,135000,0,1,0,1,0,0,1,0,0,1,1,3.0,0,1,1.33,1.25
